time,gFx,gFy,gFz,wx,wy,wz
2026-07-01T12:03:58.281Z,0.0008,-0.1395,-1.0042,0.0281,-0.0064,0.0148
2026-07-01T12:03:58.290Z,0.0008,-0.1395,-1.0042,0.0413,-0.0056,0.0151
2026-07-01T12:03:58.301Z,-0.0047,-0.1362,-0.9983,0.0546,0.0024,0.0118
2026-07-01T12:03:58.311Z,-0.0070,-0.1360,-0.9930,0.0455,0.0156,0.0106
2026-07-01T12:03:58.320Z,-0.0070,-0.1360,-0.9930,0.0270,0.0086,0.0045
2026-07-01T12:03:58.330Z,-0.0008,-0.1355,-0.9805,0.0050,-0.0023,0.0019
2026-07-01T12:03:58.340Z,-0.0008,-0.1355,-0.9805,-0.0116,0.0019,-0.0005
2026-07-01T12:03:58.350Z,-0.0051,-0.1364,-0.9848,-0.0184,0.0163,0.0008
2026-07-01T12:03:58.361Z,-0.0074,-0.1354,-0.9863,-0.0287,0.0177,0.0021
2026-07-01T12:03:58.370Z,-0.0074,-0.1354,-0.9863,-0.0298,0.0068,0.0033
2026-07-01T12:03:58.381Z,-0.0029,-0.1325,-0.9989,-0.0259,-0.0009,0.0048
2026-07-01T12:03:58.391Z,-0.0029,-0.1325,-0.9989,-0.0151,-0.0033,0.0086
2026-07-01T12:03:58.401Z,0.0015,-0.1336,-1.0067,-0.0000,-0.0070,0.0064
2026-07-01T12:03:58.411Z,-0.0003,-0.1337,-1.0048,0.0135,-0.0057,0.0089
2026-07-01T12:03:58.421Z,-0.0003,-0.1337,-1.0048,0.0223,0.0054,0.0088
2026-07-01T12:03:58.432Z,-0.0067,-0.1349,-0.9930,0.0190,0.0083,0.0022
2026-07-01T12:03:58.443Z,-0.0046,-0.1372,-0.9825,0.0108,0.0144,-0.0002
2026-07-01T12:03:58.449Z,-0.0046,-0.1372,-0.9825,0.0108,0.0144,-0.0002
2026-07-01T12:03:58.462Z,-0.0030,-0.1338,-0.9710,-0.0275,0.0290,-0.0004
2026-07-01T12:03:58.471Z,-0.0030,-0.1338,-0.9710,-0.0539,0.0289,0.0011
2026-07-01T12:03:58.482Z,-0.0002,-0.1331,-0.9786,-0.0620,0.0382,-0.0005
2026-07-01T12:03:58.495Z,0.0007,-0.1311,-0.9914,-0.0557,0.0313,-0.0035
2026-07-01T12:03:58.499Z,0.0007,-0.1311,-0.9914,-0.0557,0.0313,-0.0035
2026-07-01T12:03:58.511Z,0.0028,-0.1303,-1.0134,-0.0096,0.0181,0.0036
2026-07-01T12:03:58.521Z,0.0028,-0.1303,-1.0134,0.0254,0.0033,0.0049
2026-07-01T12:03:58.531Z,0.0007,-0.1322,-1.0224,0.0635,-0.0211,0.0117
2026-07-01T12:03:58.541Z,0.0007,-0.1322,-1.0224,0.0831,-0.0246,0.0157
2026-07-01T12:03:58.552Z,0.0023,-0.1303,-1.0131,0.0746,-0.0285,0.0108
2026-07-01T12:03:58.560Z,-0.0021,-0.1292,-0.9969,0.0746,-0.0285,0.0108
2026-07-01T12:03:58.572Z,-0.0075,-0.1309,-0.9825,0.0135,-0.0054,-0.0022
2026-07-01T12:03:58.580Z,-0.0095,-0.1349,-0.9720,0.0135,-0.0054,-0.0022
2026-07-01T12:03:58.592Z,-0.0081,-0.1357,-0.9723,-0.0454,0.0450,-0.0172
2026-07-01T12:03:58.600Z,-0.0088,-0.1346,-0.9755,-0.0454,0.0450,-0.0172
2026-07-01T12:03:58.609Z,-0.0024,-0.1362,-0.9851,-0.0512,0.0509,-0.0157
2026-07-01T12:03:58.620Z,0.0070,-0.1372,-0.9968,-0.0336,0.0303,-0.0066
2026-07-01T12:03:58.630Z,0.0108,-0.1351,-1.0043,-0.0069,0.0038,0.0059
2026-07-01T12:03:58.641Z,0.0038,-0.1353,-1.0040,0.0231,-0.0191,0.0197
2026-07-01T12:03:58.650Z,0.0038,-0.1353,-1.0040,0.0388,-0.0175,0.0194
2026-07-01T12:03:58.659Z,-0.0081,-0.1354,-0.9980,0.0370,-0.0013,0.0059
2026-07-01T12:03:58.670Z,-0.0135,-0.1349,-0.9882,0.0183,0.0098,0.0016
2026-07-01T12:03:58.680Z,-0.0090,-0.1371,-0.9811,-0.0035,0.0164,-0.0014
2026-07-01T12:03:58.691Z,-0.0039,-0.1379,-0.9840,-0.0226,0.0132,-0.0070
2026-07-01T12:03:58.700Z,-0.0035,-0.1346,-0.9882,-0.0226,0.0132,-0.0070
2026-07-01T12:03:58.710Z,-0.0004,-0.1361,-0.9937,-0.0111,0.0059,-0.0042
2026-07-01T12:03:58.720Z,0.0059,-0.1353,-1.0000,0.0004,-0.0052,0.0018
2026-07-01T12:03:58.730Z,0.0046,-0.1327,-1.0008,0.0103,-0.0048,0.0019
2026-07-01T12:03:58.739Z,0.0033,-0.1338,-0.9962,0.0137,0.0092,0.0052
2026-07-01T12:03:58.750Z,0.0061,-0.1362,-0.9915,0.0080,0.0137,0.0073
2026-07-01T12:03:58.760Z,0.0029,-0.1360,-0.9898,-0.0026,0.0294,0.0052
2026-07-01T12:03:58.770Z,-0.0028,-0.1339,-0.9924,-0.0053,0.0176,0.0033
2026-07-01T12:03:58.780Z,0.0020,-0.1312,-0.9921,-0.0057,-0.0025,0.0059
2026-07-01T12:03:58.790Z,0.0036,-0.1333,-0.9903,-0.0091,-0.0129,0.0084
2026-07-01T12:03:58.799Z,-0.0030,-0.1356,-0.9946,-0.0042,-0.0147,0.0021
2026-07-01T12:03:58.810Z,-0.0049,-0.1367,-1.0015,0.0008,-0.0121,-0.0015
